Site,Sample,Formation,Lat,Long,Temp,Dec,Inc,a95,Lithology
JP1137,A,Guperas,-25.70921667,16.68181667,571,332.8,80.6,1.8,Rhyolite
JP1137,B,Guperas,-25.70921667,16.68181667,595,252.9,50.9,3.2,Rhyolite Porphyry
JP1137,C,Guperas,-25.70921667,16.68181667,595,239,43.9,11.3,Rhyolite Porphyry
JP1137,D,Guperas,-25.70921667,16.68181667,595,282.6,-17.4,8.9,Rhyolite
JP1137,E,Guperas,-25.70921667,16.68181667,522,33.4,25.1,9.6,Rhyolite
JP1137,F,Guperas,-25.70921667,16.68181667,552,119.9,56.5,6.9,Rhyolite Porphyry
JP1137,G,Guperas,-25.70921667,16.68181667,552,33,69.6,3.3,Rhyolite Porphyry
JP1137,H,Guperas,-25.70921667,16.68181667,595,127.5,-45.7,2.2,Quartzite Grit
JP1137,J,Guperas,-25.70921667,16.68181667,540,20.5,57.2,5.7,Quartzitic Graywhacke
JP1137,K,Guperas,-25.70921667,16.68181667,571,312.7,26.9,4.5,Rhyolite Porphyry
JP1137,L,Guperas,-25.70921667,16.68181667,595,34,-61.6,9.1,Rhyolite
JP1214,A,Guperas,-25.70927,16.68176,550,348.2,41.2,10.8,Purple Quartzitic Sandstone
JP1214,A,Guperas,-25.70927,16.68176,680,87.9,35.9,20.1,Purple Quartzitic Sandstone
JP1214,B,Guperas,-25.70927,16.68176,555,5.6,32.3,16.8,Purple Quartzitic Sandstone
JP1214,B,Guperas,-25.70927,16.68176,670,192,20,6.1,Purple Quartzitic Sandstone
JP1214,C,Guperas,-25.70927,16.68176,585,0.9,73,1.9,Mafic
JP1214,C,Guperas,-25.70927,16.68176,670,54.1,9.2,19,Mafic
JP1214,D,Guperas,-25.70927,16.68176,591,355.7,81.8,1.9,Rhyolite
JP1214,E,Guperas,-25.70927,16.68176,550,332.3,54,5.5,Rhyolite
JP1214,E,Guperas,-25.70927,16.68176,605,163.5,60.3,8,Rhyolite
JP1214,F,Guperas,-25.70927,16.68176,595,14.4,81.4,1.2,Rhyolite Porphyry
JP1214,G,Guperas,-25.70927,16.68176,591,347.5,85.1,0.8,Rhyolite Porphyry
JP1214,H,Guperas,-25.70927,16.68176,591,19.2,70.5,2.1,Quartzite
JP1214,I,Guperas,-25.70927,16.68176,540,359.1,73.7,3.6,Quartzite
JP1214,I,Guperas,-25.70927,16.68176,581,130.4,68.9,6.5,Quartzite
JP1214,J,Guperas,-25.70927,16.68176,570,6,75.5,5,Mafic
JP1214,J,Guperas,-25.70927,16.68176,585,301.6,-42.9,3.8,Mafic
JP1145,A,Guperas,-25.6723,16.60786667,685,218.4,-0.5,5.3,Rhyolite
JP1145,B,Guperas,-25.6723,16.60786667,685,214.4,-7.4,5.8,Rhyolite
JP1145,C,Guperas,-25.6723,16.60786667,685,2.5,15.6,4.3,Rhyolite Porphyry
JP1145,D,Guperas,-25.6723,16.60786667,565,153.3,1,4.4,Microgranite
JP1145,D,Guperas,-25.6723,16.60786667,675,324.1,3.2,13.5,Microgranite
JP1145,E,Guperas,-25.6723,16.60786667,675,113.9,13.7,3.4,Mafic
JP1145,F,Guperas,-25.6723,16.60786667,541,344.2,26.6,11,Rhyolite Porphyry
JP1145,F,Guperas,-25.6723,16.60786667,685,267.8,40,4.5,Rhyolite Porphyry
JP1145,G,Guperas,-25.6723,16.60786667,585,304.3,-24.1,2.5,Rhyolite Porphyry
JP1145,I,Guperas,-25.6723,16.60786667,675,254,-19.8,5.5,Porphyry
JP1209,A,Guperas,-25.6723,16.60786667,595,188.4,81.2,1.4,Rhyolite
JP1209,C,Guperas,-25.6723,16.60786667,556,338.5,15.4,8,Quartzite
JP1209,C,Guperas,-25.6723,16.60786667,700,336,1.8,8,Quartzite
JP1209,D,Guperas,-25.6723,16.60786667,695,65.4,16.4,7.4,Quartzite
JP1209,E,Guperas,-25.6723,16.60786667,700,180.8,-12.4,2.5,Rhyolite
JP1209,F,Guperas,-25.6723,16.60786667,595,197.7,64.2,17.1,Rhyolite
JP1209,G,Guperas,-25.6723,16.60786667,700,351.7,35.9,13.2,Quartzite
JP1209,H,Guperas,-25.6723,16.60786667,570,288.2,-2.7,10.7,Quartzite
JP1209,I,Guperas,-25.6723,16.60786667,665,312.7,-47.4,13.3,Quartzite
JP1209,J,Guperas,-25.6723,16.60786667,695,316.8,-29.1,12.8,Quartzite